stock,broker,rating,target_price,previous_price,date,source_url,symbol
ICICIBANK,CLSA,BUY,1700,1408.4,2025-10-04,https://www.businesstoday.in/markets/stocks/story/clsa-bullish-on-3-bank-stocks-sees-up-to-33-upside-heres-why-456792-2025-10-04,NSE:ICICIBANK
SBIN,CLSA,BUY,1050,1068.2,2025-10-04,https://www.businesstoday.in/markets/stocks/story/clsa-bullish-on-3-bank-stocks-sees-up-to-33-upside-heres-why-456792-2025-10-04,NSE:SBIN
BANDHANBNK,CLSA,BUY,220,157.34,2025-10-04,https://www.businesstoday.in/markets/stocks/story/clsa-bullish-on-3-bank-stocks-sees-up-to-33-upside-heres-why-456792-2025-10-04,NSE:BANDHANBNK
ICICIBANK,CLSA,BUY,1700,1408.4,2026-01-08,https://economictimes.indiatimes.com/markets/stocks/news/itc-eternal-among-15-stocks-in-clsas-2026-focus-portfolio-check-full-list-targets-here/articleshow/116012345.cms,NSE:ICICIBANK
SBIN,CLSA,BUY,1170,1068.2,2026-01-08,https://economictimes.indiatimes.com/markets/stocks/news/itc-eternal-among-15-stocks-in-clsas-2026-focus-portfolio-check-full-list-targets-here/articleshow/116012345.cms,NSE:SBIN
GODREJPROP,CLSA,BUY,2850,1711.7,2026-01-08,https://economictimes.indiatimes.com/markets/stocks/news/itc-eternal-among-15-stocks-in-clsas-2026-focus-portfolio-check-full-list-targets-here/articleshow/116012345.cms,NSE:GODREJPROP
ETERNAL,CLSA,OUTPERFORM,483,294.15,2025-11-24,https://bharathorizon.com/business/stock-market/clsa-forecasts-16-indian-stock-market-upside-by-2026.html,NSE:ETERNAL
NHPC,CLSA,OUTPERFORM,-1,78.48,2025-11-24,https://bharathorizon.com/business/stock-market/clsa-forecasts-16-indian-stock-market-upside-by-2026.html,NSE:NHPC
APOLLOTYRE,CLSA,OUTPERFORM,-1,512.65,2025-11-24,https://bharathorizon.com/business/stock-market/clsa-forecasts-16-indian-stock-market-upside-by-2026.html,NSE:APOLLOTYRE
DMART,CLSA,OUTPERFORM,-1,3824.3,2025-11-24,https://bharathorizon.com/business/stock-market/clsa-forecasts-16-indian-stock-market-upside-by-2026.html,NSE:DMART
INDUSTOWER,CLSA,OUTPERFORM,-1,445.1,2025-11-24,https://bharathorizon.com/business/stock-market/clsa-forecasts-16-indian-stock-market-upside-by-2026.html,NSE:INDUSTOWER
ONGC,CLSA,OUTPERFORM,-1,266.95,2025-11-24,https://bharathorizon.com/business/stock-market/clsa-forecasts-16-indian-stock-market-upside-by-2026.html,NSE:ONGC
PERSISTENT,CLSA,OUTPERFORM,-1,5986,2025-11-24,https://bharathorizon.com/business/stock-market/clsa-forecasts-16-indian-stock-market-upside-by-2026.html,NSE:PERSISTENT
DLF,CLSA,OUTPERFORM,-1,659.85,2025-11-24,https://bharathorizon.com/business/stock-market/clsa-forecasts-16-indian-stock-market-upside-by-2026.html,NSE:DLF
PFC,CLSA,OUTPERFORM,-1,414.6,2025-11-24,https://bharathorizon.com/business/stock-market/clsa-forecasts-16-indian-stock-market-upside-by-2026.html,NSE:PFC
RECLTD,CLSA,OUTPERFORM,-1,381.6,2025-11-24,https://bharathorizon.com/business/stock-market/clsa-forecasts-16-indian-stock-market-upside-by-2026.html,NSE:RECLTD
TECHM,CLSA,OUTPERFORM,-1,1645.3,2025-11-24,https://bharathorizon.com/business/stock-market/clsa-forecasts-16-indian-stock-market-upside-by-2026.html,NSE:TECHM
ULTRACEMCO,CLSA,OUTPERFORM,-1,12806,2025-11-24,https://bharathorizon.com/business/stock-market/clsa-forecasts-16-indian-stock-market-upside-by-2026.html,NSE:ULTRACEMCO
VBL,CLSA,OUTPERFORM,-1,444.9,2025-11-24,https://bharathorizon.com/business/stock-market/clsa-forecasts-16-indian-stock-market-upside-by-2026.html,NSE:VBL
