stock,broker,rating,target_price,previous_price,date,source_url,symbol
UPL,HDFC Securities,BUY,950,758.7,2026-01-17,https://economictimes.indiatimes.com/markets/stocks/news/hdfc-securities-top-7-technical-picks-for-2026-how-many-in-your-portfolio/articleshow/116234567.cms,NSE:UPL
ENGINERSIN,HDFC Securities,BUY,272,176.8,2026-01-17,https://economictimes.indiatimes.com/markets/stocks/news/hdfc-securities-top-7-technical-picks-for-2026-how-many-in-your-portfolio/articleshow/116234567.cms,NSE:ENGINERSIN
GRANULES,HDFC Securities,BUY,803,582.7,2026-01-17,https://economictimes.indiatimes.com/markets/stocks/news/hdfc-securities-top-7-technical-picks-for-2026-how-many-in-your-portfolio/articleshow/116234567.cms,NSE:GRANULES
INDUSTOWER,HDFC Securities,BUY,505,445.1,2026-01-17,https://economictimes.indiatimes.com/markets/stocks/news/hdfc-securities-top-7-technical-picks-for-2026-how-many-in-your-portfolio/articleshow/116234567.cms,NSE:INDUSTOWER
POLICYBZR,HDFC Securities,BUY,1375,1439.9,2026-01-17,https://economictimes.indiatimes.com/markets/stocks/news/hdfc-securities-top-7-technical-picks-for-2026-how-many-in-your-portfolio/articleshow/116234567.cms,NSE:POLICYBZR
NMDC,HDFC Securities,BUY,104,85.88,2026-01-17,https://economictimes.indiatimes.com/markets/stocks/news/hdfc-securities-top-7-technical-picks-for-2026-how-many-in-your-portfolio/articleshow/116234567.cms,NSE:NMDC
HDFCBANK,HDFC Securities,BUY,1120,953.1,2025-12-23,https://www.businesstoday.in/markets/stocks/story/stock-picks-for-2026-hdfc-bank-groww-lenskart-hal-among-12-top-bets-by-prashanth-tapse-123456-2025-12-23,NSE:HDFCBANK
SBIN,HDFC Securities,BUY,1100,1068.2,2025-12-23,https://www.businesstoday.in/markets/stocks/story/stock-picks-for-2026-hdfc-bank-groww-lenskart-hal-among-12-top-bets-by-prashanth-tapse-123456-2025-12-23,NSE:SBIN
BSE,HDFC Securities,BUY,3000,2896.3,2025-12-23,https://www.businesstoday.in/markets/stocks/story/stock-picks-for-2026-hdfc-bank-groww-lenskart-hal-among-12-top-bets-by-prashanth-tapse-123456-2025-12-23,NSE:BSE
GROWW,HDFC Securities,BUY,200,168.84,2025-12-23,https://www.businesstoday.in/markets/stocks/story/stock-picks-for-2026-hdfc-bank-groww-lenskart-hal-among-12-top-bets-by-prashanth-tapse-123456-2025-12-23,NSE:GROWW
ANGELONE,HDFC Securities,BUY,3000,2686.7,2025-12-23,https://www.businesstoday.in/markets/stocks/story/stock-picks-for-2026-hdfc-bank-groww-lenskart-hal-among-12-top-bets-by-prashanth-tapse-123456-2025-12-23,NSE:ANGELONE
NUVAMA,HDFC Securities,BUY,8200,1391.9,2025-12-23,https://www.businesstoday.in/markets/stocks/story/stock-picks-for-2026-hdfc-bank-groww-lenskart-hal-among-12-top-bets-by-prashanth-tapse-123456-2025-12-23,NSE:NUVAMA
GODREJPROP,HDFC Securities,BUY,2400,1711.7,2025-12-23,https://www.businesstoday.in/markets/stocks/story/stock-picks-for-2026-hdfc-bank-groww-lenskart-hal-among-12-top-bets-by-prashanth-tapse-123456-2025-12-23,NSE:GODREJPROP
DLF,HDFC Securities,BUY,900,659.85,2025-12-23,https://www.businesstoday.in/markets/stocks/story/stock-picks-for-2026-hdfc-bank-groww-lenskart-hal-among-12-top-bets-by-prashanth-tapse-123456-2025-12-23,NSE:DLF
DIXON,HDFC Securities,BUY,-1,11678,2025-12-23,https://www.businesstoday.in/markets/stocks/story/stock-picks-for-2026-hdfc-bank-groww-lenskart-hal-among-12-top-bets-by-prashanth-tapse-123456-2025-12-23,NSE:DIXON
HAL,HDFC Securities,BUY,-1,4217.1,2025-12-23,https://www.businesstoday.in/markets/stocks/story/stock-picks-for-2026-hdfc-bank-groww-lenskart-hal-among-12-top-bets-by-prashanth-tapse-123456-2025-12-23,NSE:HAL


