stock,broker,rating,target_price,previous_price,date,source_url,symbol
BAJAJFINSV,ICICI Securities,BUY,2400,2019.6,2025-12-15,https://www.cnbctv18.com/market/top-stock-picks-for-2026-icici-direct-lists-seven-technical-bets-for-up-to-23-percent-upside-19787621.htm,NSE:BAJAJFINSV
IOC,ICICI Securities,BUY,190,172.78,2025-12-15,https://www.cnbctv18.com/market/top-stock-picks-for-2026-icici-direct-lists-seven-technical-bets-for-up-to-23-percent-upside-19787621.htm,NSE:IOC
LTIM,ICICI Securities,BUY,7370,5706.5,2025-12-15,https://www.cnbctv18.com/market/top-stock-picks-for-2026-icici-direct-lists-seven-technical-bets-for-up-to-23-percent-upside-19787621.htm,NSE:LTIM
PIDILITIND,ICICI Securities,BUY,1720,1460.3,2025-12-15,https://www.cnbctv18.com/market/top-stock-picks-for-2026-icici-direct-lists-seven-technical-bets-for-up-to-23-percent-upside-19787621.htm,NSE:PIDILITIND
SRF,ICICI Securities,BUY,3480,2920.6,2025-12-15,https://www.cnbctv18.com/market/top-stock-picks-for-2026-icici-direct-lists-seven-technical-bets-for-up-to-23-percent-upside-19787621.htm,NSE:SRF
JAMNAAUTO,ICICI Securities,BUY,152,130.23,2025-12-15,https://www.cnbctv18.com/market/top-stock-picks-for-2026-icici-direct-lists-seven-technical-bets-for-up-to-23-percent-upside-19787621.htm,NSE:JAMNAAUTO
AXISBANK,ICICI Securities,BUY,-1,1338.7,2025-04-23,https://www.moneycontrol.com/news/business/markets/icici-securities-predicts-nifty-bull-case-target-at-28-100-by-march-2026-here-are-its-top-stock-picks-12567891.html,NSE:AXISBANK
MARUTI,ICICI Securities,BUY,-1,15071,2025-04-23,https://www.moneycontrol.com/news/business/markets/icici-securities-predicts-nifty-bull-case-target-at-28-100-by-march-2026-here-are-its-top-stock-picks-12567891.html,NSE:MARUTI
ULTRACEMCO,ICICI Securities,BUY,-1,12806,2025-04-23,https://www.moneycontrol.com/news/business/markets/icici-securities-predicts-nifty-bull-case-target-at-28-100-by-march-2026-here-are-its-top-stock-picks-12567891.html,NSE:ULTRACEMCO
TATASTEEL,ICICI Securities,BUY,-1,195.4,2025-04-23,https://www.moneycontrol.com/news/business/markets/icici-securities-predicts-nifty-bull-case-target-at-28-100-by-march-2026-here-are-its-top-stock-picks-12567891.html,NSE:TATASTEEL
LT,ICICI Securities,BUY,-1,4087.1,2025-04-23,https://www.moneycontrol.com/news/business/markets/icici-securities-predicts-nifty-bull-case-target-at-28-100-by-march-2026-here-are-its-top-stock-picks-12567891.html,NSE:LT
SUNPHARMA,ICICI Securities,BUY,-1,1704.4,2025-04-23,https://www.moneycontrol.com/news/business/markets/icici-securities-predicts-nifty-bull-case-target-at-28-100-by-march-2026-here-are-its-top-stock-picks-12567891.html,NSE:SUNPHARMA
GAIL,ICICI Securities,BUY,-1,165.41,2025-04-23,https://www.moneycontrol.com/news/business/markets/icici-securities-predicts-nifty-bull-case-target-at-28-100-by-march-2026-here-are-its-top-stock-picks-12567891.html,NSE:GAIL
SOLARINDS,ICICI Securities,BUY,-1,13572,2025-04-23,https://www.moneycontrol.com/news/business/markets/icici-securities-predicts-nifty-bull-case-target-at-28-100-by-march-2026-here-are-its-top-stock-picks-12567891.html,NSE:SOLARINDS
JSWENERGY,ICICI Securities,BUY,-1,468.85,2025-04-23,https://www.moneycontrol.com/news/business/markets/icici-securities-predicts-nifty-bull-case-target-at-28-100-by-march-2026-here-are-its-top-stock-picks-12567891.html,NSE:JSWENERGY
TATACOMM,ICICI Securities,BUY,-1,1562.2,2025-04-23,https://www.moneycontrol.com/news/business/markets/icici-securities-predicts-nifty-bull-case-target-at-28-100-by-march-2026-here-are-its-top-stock-picks-12567891.html,NSE:TATACOMM
ACI,ICICI Securities,BUY,-1,592.25,2025-04-23,https://www.moneycontrol.com/news/business/markets/icici-securities-predicts-nifty-bull-case-target-at-28-100-by-march-2026-here-are-its-top-stock-picks-12567891.html,NSE:ACI
