stock,broker,rating,target_price,previous_price,date,source_url,symbol
BHARTIARTL,Motilal Oswal,BUY,2365,2025.8,2025-12-29,https://www.whalesbook.com/news/English/Stock-Investment-Ideas/Motilal-Oswals-2026-Stock-Picks-Revealed-Bharti-Airtel-SBI-HCLTech-and-more/658e9e0ea4d12,NSE:BHARTIARTL
SBIN,Motilal Oswal,BUY,1100,1068.2,2025-12-29,https://www.whalesbook.com/news/English/Stock-Investment-Ideas/Motilal-Oswals-2026-Stock-Picks-Revealed-Bharti-Airtel-SBI-HCLTech-and-more/658e9e0ea4d12,NSE:SBIN
HCLTECH,Motilal Oswal,BUY,2150,1621.8,2025-12-29,https://www.whalesbook.com/news/English/Stock-Investment-Ideas/Motilal-Oswals-2026-Stock-Picks-Revealed-Bharti-Airtel-SBI-HCLTech-and-more/658e9e0ea4d12,NSE:HCLTECH
TVSMOTOR,Motilal Oswal,BUY,4159,3727.4,2025-12-29,https://www.whalesbook.com/news/English/Stock-Investment-Ideas/Motilal-Oswals-2026-Stock-Picks-Revealed-Bharti-Airtel-SBI-HCLTech-and-more/658e9e0ea4d12,NSE:TVSMOTOR
MFSL,Motilal Oswal,BUY,2100,1708.2,2025-12-29,https://www.whalesbook.com/news/English/Stock-Investment-Ideas/Motilal-Oswals-2026-Stock-Picks-Revealed-Bharti-Airtel-SBI-HCLTech-and-more/658e9e0ea4d12,NSE:MFSL
BIOCON,Motilal Oswal,BUY,460,368.55,2025-12-29,https://www.whalesbook.com/news/English/Stock-Investment-Ideas/Motilal-Oswals-2026-Stock-Picks-Revealed-Bharti-Airtel-SBI-HCLTech-and-more/658e9e0ea4d12,NSE:BIOCON
JKCEMENT,Motilal Oswal,BUY,7000,5708,2025-12-29,https://www.whalesbook.com/news/English/Stock-Investment-Ideas/Motilal-Oswals-2026-Stock-Picks-Revealed-Bharti-Airtel-SBI-HCLTech-and-more/658e9e0ea4d12,NSE:JKCEMENT
POONAWALLA,Motilal Oswal,BUY,600,420.2,2025-12-29,https://www.whalesbook.com/news/English/Stock-Investment-Ideas/Motilal-Oswals-2026-Stock-Picks-Revealed-Bharti-Airtel-SBI-HCLTech-and-more/658e9e0ea4d12,NSE:POONAWALLA
PRIVISCL,Motilal Oswal,BUY,3960,2832.5,2025-12-29,https://www.whalesbook.com/news/English/Stock-Investment-Ideas/Motilal-Oswals-2026-Stock-Picks-Revealed-Bharti-Airtel-SBI-HCLTech-and-more/658e9e0ea4d12,NSE:PRIVISCL
JSWINFRA,Motilal Oswal,BUY,375,266.35,2024-12-26,https://www.motilaloswal.com/news/stocks/76080,NSE:JSWINFRA
