stock,broker,rating,target_price,previous_price,date,source_url,symbol
MARUTI,Morgan Stanley,OVERWEIGHT,0,15071,2025-11-18,https://www.whalesbook.com/news/English/research-reports/Morgan-Stanley-Reveals-2026-India-Strategy-Top-Sectors-and-Stock-Picks-for-Investors/6558c8c6420f5,NSE:MARUTI
TRENT,Morgan Stanley,OVERWEIGHT,0,4012.6,2025-11-18,https://www.indianewsnetwork.com/en/morgan-stanley-top-10-stocks-indian-equities-set-recover-2026-20251119,NSE:TRENT
TITAN,Morgan Stanley,OVERWEIGHT,0,4144,2025-11-18,https://www.indianewsnetwork.com/en/morgan-stanley-top-10-stocks-indian-equities-set-recover-2026-20251119,NSE:TITAN
VBL,Morgan Stanley,OVERWEIGHT,0,444.9,2025-11-18,https://www.whalesbook.com/news/English/research-reports/Morgan-Stanley-Reveals-2026-India-Strategy-Top-Sectors-and-Stock-Picks-for-Investors/6558c8c6420f5,NSE:VBL
RELIANCE,Morgan Stanley,OVERWEIGHT,0,1456.8,2025-11-18,https://www.indianewsnetwork.com/en/morgan-stanley-top-10-stocks-indian-equities-set-recover-2026-20251119,NSE:RELIANCE
BAJFINANCE,Morgan Stanley,OVERWEIGHT,0,963.3,2025-11-18,https://www.indianewsnetwork.com/en/morgan-stanley-top-10-stocks-indian-equities-set-recover-2026-20251119,NSE:BAJFINANCE
ICICIBANK,Morgan Stanley,OVERWEIGHT,0,1408.4,2025-11-18,https://www.indianewsnetwork.com/en/morgan-stanley-top-10-stocks-indian-equities-set-recover-2026-20251119,NSE:ICICIBANK
LT,Morgan Stanley,OVERWEIGHT,0,4087.1,2025-11-18,https://www.indianewsnetwork.com/en/morgan-stanley-top-10-stocks-indian-equities-set-recover-2026-20251119,NSE:LT
ULTRACEMCO,Morgan Stanley,OVERWEIGHT,0,12806,2025-11-18,https://www.indianewsnetwork.com/en/morgan-stanley-top-10-stocks-indian-equities-set-recover-2026-20251119,NSE:ULTRACEMCO
COFORGE,Morgan Stanley,OVERWEIGHT,0,1613.9,2025-11-18,https://www.whalesbook.com/news/English/research-reports/Morgan-Stanley-Reveals-2026-India-Strategy-Top-Sectors-and-Stock-Picks-for-Investors/6558c8c6420f5,NSE:COFORGE
HAL, Morgan Stanley, UNDERWEIGHT,3355,4030,2026-02-05,https://www.cnbctv18.com/market/hindustan-aeronautics-hal-share-price-downgrade-target-cut-morgan-stanley-downside-order-impact-19842685.htm,NSE:HAL
